Date,NIFTY_MIDSMALLCAP400_MOMENTUM_QUALITY_100
2020-01-31,19205.65
2020-01-30,19264.11
2020-01-29,19421.75
2020-01-28,19420.82
2020-01-27,19367.04
2020-01-24,19337.4
2020-01-23,19190.03
2020-01-22,18961.71
2020-01-21,19002.54
2020-01-20,18989.04
2020-01-17,19068.16
2020-01-16,18994.73
2020-01-15,18858.88
2020-01-14,18664.09
2020-01-13,18488.26
2020-01-10,18345.21
2020-01-09,18284.84
2020-01-08,18051.54
2020-01-07,17984.9
2020-01-06,17812.37
2020-01-03,18177.62
2020-01-02,18246.79
2020-01-01,18120.35
2019-12-31,18053.83
2019-12-30,18042.96
2019-12-27,17966.56
2019-12-26,17821.87
2019-12-24,17811.39
2019-12-23,17825.29
2019-12-20,17856.82
2019-12-19,17853.49
2019-12-18,17834.94
2019-12-17,17865.94
2019-12-16,17808.93
2019-12-13,17893.76
2019-12-12,17737.86
2019-12-11,17631.05
2019-12-10,17487.06
